type,note(s),duration_type,duration_quarterLength,offset
note,C#5,16th,0.25,193.75
note,D5,16th,0.25,194.0
note,E5,16th,0.25,194.25
note,F5,16th,0.25,194.5
note,F#5,16th,0.25,194.75
note,G5,eighth,0.5,197.5
note,F#5,eighth,0.5,199.0
note,F5,eighth,0.5,200.5
note,E5,eighth,0.5,202.0
note,E5,eighth,0.5,203.5
note,G5,16th,0.25,205.75
note,F#5,16th,0.25,206.0
note,F5,16th,0.25,206.25
note,E5,16th,0.25,206.5
note,F5,16th,0.25,206.75
note,C#5,complex,2.75,207.0
note,C5,16th,0.25,210.0
note,C#5,16th,0.25,210.25
note,D5,16th,0.25,210.5
note,E5,16th,0.25,210.75
note,F#5,16th,0.25,211.0
note,F5,16th,0.25,211.25
note,F#5,eighth,0.5,211.5
note,F5,16th,0.25,212.25
note,G#4,eighth,0.5,212.5
note,A4,16th,0.25,213.0
note,G#4,16th,0.25,213.25
note,G4,16th,0.25,213.5
note,G#4,16th,0.25,213.75
note,C5,16th,0.25,214.0
note,G#4,16th,0.25,214.25
note,G#4,quarter,1.5,214.5
note,C5,16th,0.25,216.0
note,C#5,16th,0.25,216.25
note,D5,16th,0.25,216.5
note,E5,16th,0.25,216.75
note,F#5,16th,0.25,217.0
note,F5,16th,0.25,217.25
note,E5,quarter,1.0,217.5
note,G#4,eighth,0.5,218.5
chord,"C#5,B5",16th,0.25,668/3
chord,"E6,C7",16th,0.25,673/3
rest,,breve,37/6,2695/12
rest,,complex,22.0,0.0
note,C#6,16th,0.25,22.0
rest,,inexpressible,192.25,22.0
note,E5,16th,0.25,67/3
chord,"C#5,B5",16th,0.25,30.75
note,B4,eighth,0.5,31.5
note,B4,16th,0.25,97/3
chord,"F#5,B5",16th,0.25,46.5
chord,"E4,E5",16th,0.25,59.75
note,C#6,16th,0.25,286/3
note,B4,16th,0.25,287/3
chord,"F5,C#6",quarter,1.0,97.5
note,E5,16th,0.25,338/3
note,F#5,16th,0.25,340/3
chord,"E5,G#5",16th,0.25,116.75
chord,"C#5,E5",16th,0.25,151.75
note,E5,16th,0.25,152.25
note,B5,16th,0.25,152.5
note,F6,16th,0.25,152.75
chord,"B6,G6",16th,0.25,153.0
chord,"B6,E6",16th,0.25,153.75
chord,"F6,F#6",16th,0.25,154.75
chord,"C#5,B4",16th,0.25,155.75
note,B4,16th,0.25,472/3
note,C#7,16th,0.25,535/3
note,E4,16th,0.25,548/3
note,B4,16th,0.25,214.0
rest,,complex,16.5,214.25
note,B4,16th,0.25,286/3
note,F5,16th,0.25,457/3
note,B5,16th,0.25,458/3
note,C#2,16th,0.25,0.0
note,F4,16th,0.25,0.25
note,G#3,16th,0.25,0.5
note,F4,16th,0.25,0.75
note,C#4,16th,0.25,1.0
note,F3,16th,0.25,1.25
note,C#3,16th,0.25,1.5
note,F4,16th,0.25,1.75
note,G#3,16th,0.25,2.0
note,F4,16th,0.25,2.25
note,C#4,16th,0.25,2.5
note,F3,16th,0.25,2.75
note,C#3,16th,0.25,3.0
note,F4,16th,0.25,3.25
note,G#3,16th,0.25,3.5
note,F4,16th,0.25,3.75
note,C#4,16th,0.25,4.0
note,F3,16th,0.25,4.25
note,C#3,16th,0.25,4.5
note,F4,16th,0.25,4.75
note,G#3,16th,0.25,5.0
note,F4,16th,0.25,5.25
note,C#4,16th,0.25,5.5
note,F3,16th,0.25,5.75
note,C#3,16th,0.25,6.0
note,F4,16th,0.25,6.25
note,G#3,16th,0.25,6.5
note,F4,16th,0.25,6.75
note,C#4,16th,0.25,7.0
note,F3,16th,0.25,7.25
note,C#3,16th,0.25,7.5
note,F4,16th,0.25,7.75
note,G#3,16th,0.25,8.0
note,F4,16th,0.25,8.25
note,C#4,16th,0.25,8.5
note,F3,16th,0.25,8.75
note,C#3,16th,0.25,9.0
note,F4,16th,0.25,9.25
note,G#3,16th,0.25,9.5
note,F4,16th,0.25,9.75
note,C#4,16th,0.25,10.0
note,F3,16th,0.25,10.25
note,C#3,16th,0.25,10.5
note,F4,16th,0.25,10.75
note,G#3,16th,0.25,11.0
note,F4,16th,0.25,11.25
note,C#4,16th,0.25,11.5
note,F3,16th,0.25,11.75
note,C#2,16th,0.25,12.0
note,F#4,16th,0.25,12.25
note,A3,16th,0.25,12.5
note,F#4,16th,0.25,12.75
note,E4,16th,0.25,13.0
note,F#3,16th,0.25,13.25
note,C#3,16th,0.25,13.5
note,F#4,16th,0.25,13.75
note,A3,16th,0.25,14.0
note,F#4,16th,0.25,14.25
note,E4,16th,0.25,14.5
note,F#3,16th,0.25,14.75
note,C#3,16th,0.25,15.0
note,F#4,16th,0.25,15.25
note,B3,16th,0.25,15.5
note,F#4,16th,0.25,15.75
note,E4,16th,0.25,16.0
note,F#3,16th,0.25,16.25
note,C#3,16th,0.25,16.5
note,F#4,16th,0.25,16.75
note,B3,16th,0.25,17.0
note,F#4,16th,0.25,17.25
note,E4,16th,0.25,17.5
note,F#3,16th,0.25,17.75
note,C3,16th,0.25,18.0
note,F#4,16th,0.25,18.25
note,A3,16th,0.25,18.5
note,F#4,16th,0.25,18.75
note,E4,16th,0.25,19.0
note,F#3,16th,0.25,19.25
note,B2,16th,0.25,19.5
note,F#4,16th,0.25,19.75
note,B3,16th,0.25,20.0
note,F#4,16th,0.25,20.25
note,E4,16th,0.25,20.5
note,F#3,16th,0.25,20.75
note,A2,16th,0.25,21.0
note,F#4,16th,0.25,21.25
note,A3,16th,0.25,21.5
note,F#4,16th,0.25,21.75
note,C#4,16th,0.25,22.0
note,E3,16th,0.25,22.25
note,G#2,16th,0.25,22.5
note,F#4,16th,0.25,22.75
note,G#3,16th,0.25,23.0
note,F#4,16th,0.25,23.25
note,C4,16th,0.25,23.5
note,E3,16th,0.25,23.75
note,C#2,16th,0.25,24.0
note,E4,16th,0.25,24.25
note,G3,16th,0.25,24.5
