type,note(s),duration_type,duration_quarterLength,offset
chord,"C#5,G#5,C#6",eighth,0.5,774.5
chord,"C#5,G#5,C#6",eighth,0.5,775.0
chord,"C#5,G#5,C#6",eighth,0.5,775.5
chord,"C#5,G#5,C#6",eighth,0.5,776.0
chord,"C#5,G#5,C#6",eighth,0.5,776.5
chord,"C#5,G#5,C#6",eighth,0.5,777.0
chord,"C#5,G#5,C#6",eighth,0.5,777.5
chord,"C#5,G#5,C#6",eighth,0.5,778.0
chord,"C#5,G#5,C#6",eighth,0.5,778.5
chord,"C#5,G#5,C#6",eighth,0.5,779.0
chord,"C#5,G#5,C#6",eighth,0.5,779.5
chord,"C#5,G#5,C#6",quarter,1.0,780.0
note,F4,eighth,0.5,784.5
note,F4,eighth,0.5,785.0
note,F4,eighth,0.5,785.5
note,G#4,quarter,1.0,786.0
chord,"E5,A5,C6,E6",eighth,0.5,790.5
chord,"E5,A5,C6,E6",eighth,0.5,791.0
chord,"E5,A5,C6,E6",eighth,0.5,791.5
chord,"E5,A5,C6,E6",eighth,0.5,792.0
chord,"E5,A5,C6,E6",eighth,0.5,792.5
chord,"E5,A5,C6,E6",eighth,0.5,793.0
chord,"E5,A5,C6,E6",eighth,0.5,793.5
chord,"E5,A5,C6,E6",eighth,0.5,794.0
chord,"E5,A5,C6,E6",eighth,0.5,794.5
chord,"E5,A5,C6,E6",eighth,0.5,795.0
chord,"E5,A5,C6,E6",eighth,0.5,795.5
chord,"E5,A5,C6,E6",eighth,0.5,796.0
chord,"E5,A5,C6,E6",eighth,0.5,796.5
chord,"E5,A5,C6,E6",eighth,0.5,797.0
chord,"E5,A5,C6,E6",eighth,0.5,797.5
chord,"E5,A5,C6,E6",eighth,0.5,798.0
chord,"E5,A5,C6,E6",eighth,0.5,798.5
chord,"E5,A5,C6,E6",eighth,0.5,799.0
chord,"E5,A5,C6,E6",eighth,0.5,799.5
chord,"E5,A5,C6,E6",quarter,1.0,800.0
chord,"C5,C6",eighth,0.5,802.5
chord,"C5,C6",eighth,0.5,803.0
chord,"C5,C6",eighth,0.5,803.5
chord,"E5,E6",quarter,1.0,804.0
note,G4,eighth,0.5,806.5
note,G4,eighth,0.5,807.0
note,G4,eighth,0.5,807.5
note,E4,half,2.0,808.0
note,B4,eighth,0.5,810.0
note,C5,eighth,0.5,810.5
note,D5,eighth,0.5,811.0
note,E5,eighth,0.5,811.5
note,B5,whole,4.0,812.0
note,E4,half,2.0,816.0
note,B4,eighth,0.5,818.0
note,C5,eighth,0.5,818.5
note,D5,eighth,0.5,819.0
note,E5,eighth,0.5,819.5
note,B5,whole,4.0,820.0
note,G#5,eighth,0.5,824.0
note,G5,eighth,0.5,824.5
note,B5,eighth,0.5,825.0
note,G#5,eighth,0.5,825.5
note,G5,eighth,0.5,826.0
note,F5,eighth,0.5,826.5
note,G#5,eighth,0.5,827.0
note,G5,eighth,0.5,827.5
note,F5,eighth,0.5,828.0
note,E5,eighth,0.5,828.5
note,G5,eighth,0.5,829.0
note,F5,eighth,0.5,829.5
note,E5,eighth,0.5,830.0
note,D5,eighth,0.5,830.5
note,F5,eighth,0.5,831.0
note,E5,eighth,0.5,831.5
note,D5,eighth,0.5,832.0
note,C5,eighth,0.5,832.5
note,E5,eighth,0.5,833.0
note,D5,eighth,0.5,833.5
note,C5,eighth,0.5,834.0
note,B4,eighth,0.5,834.5
note,D5,eighth,0.5,835.0
note,C5,eighth,0.5,835.5
note,B4,eighth,0.5,836.0
note,G#4,eighth,0.5,836.5
note,C5,eighth,0.5,837.0
note,B4,eighth,0.5,837.5
note,G#4,eighth,0.5,838.0
note,G4,eighth,0.5,838.5
note,B4,eighth,0.5,839.0
note,G#4,eighth,0.5,839.5
note,F4,eighth,0.5,840.0
note,G4,eighth,0.5,840.5
chord,"G3,E4",eighth,0.5,841.0
note,G4,eighth,0.5,841.5
chord,"G3,D4",eighth,0.5,842.0
note,G4,eighth,0.5,842.5
chord,"G3,E4",eighth,0.5,843.0
note,G4,eighth,0.5,843.5
chord,"G3,F4",eighth,0.5,844.0
note,G4,eighth,0.5,844.5
chord,"G3,E4",eighth,0.5,845.0
note,G4,eighth,0.5,845.5
chord,"G3,F4",eighth,0.5,846.0
