type,note(s),duration_type,duration_quarterLength,tie,quarterLength
chord,"C4,F#4",quarter,1.0,,1.0
note,G#5,half,3.0,,3.0
note,G#5,half,3.0,,3.0
rest,,whole,6.0,,6.0
note,B4,complex,3.25,,3.25
note,B5,eighth,0.75,,0.75
note,B4,16th,0.25,,0.25
note,F#3,quarter,1.0,,1.0
note,G#3,eighth,0.5,,0.5
note,B3,quarter,1.0,,1.0
note,F#3,quarter,1.0,,1.0
note,G#3,eighth,0.5,,0.5
note,B3,quarter,1.0,,1.0
chord,"F#4,B4",quarter,1.0,,1.0
rest,,eighth,0.5,,0.5
chord,"F4,G#4",half,3.75,,3.75
rest,,eighth,0.5,,0.5
rest,,complex,61.25,,61.25
chord,"F#4,A4",complex,4.25,,4.25
chord,"F4,G#4",complex,4.25,,4.25
chord,"E4,F#4",complex,4.25,,4.25
chord,"E4,C#4",complex,2.75,,2.75
chord,"E4,C4",quarter,1.5,,1.5
chord,"C#4,B3",complex,2.75,,2.75
chord,"C4,A3",quarter,1.5,,1.5
note,B3,complex,4.25,,4.25
chord,"G#3,F3",complex,2.75,,2.75
note,F#3,quarter,1.5,,1.5
note,C#2,eighth,0.5,,0.5
chord,"F3,G#3",eighth,0.5,,0.5
chord,"F4,G#4",whole,10/3,,10/3
note,F#2,complex,2.75,,2.75
chord,"F2,C#3",complex,2.75,,2.75
chord,"G#3,C#4",quarter,1.5,,1.5
note,F#2,complex,2.75,,2.75
note,G#2,complex,4.25,,4.25
note,B2,complex,2.75,,2.75
chord,"E1,E2",complex,2.75,,2.75
rest,,inexpressible,257.0,,257.0
chord,"E4,F#4,B4",eighth,0.5,,0.5
chord,"C#4,F#4,B4",eighth,0.5,,0.5
chord,"C#4,F#4,B4",eighth,0.5,,0.5
chord,"C#4,F#4,B4",eighth,0.5,,0.5
chord,"C4,F#4,B4",eighth,0.5,,0.5
chord,"C4,F#4,B4",eighth,0.5,,0.5
chord,"C4,F#4,B4",eighth,0.75,,0.75
chord,"C#4,F#4,B4",eighth,0.75,,0.75
chord,"B3,C#4,F#4",quarter,1.5,,1.5
chord,"E1,E2",complex,2.75,,2.75
chord,"E4,F#4,B4",eighth,0.5,,0.5
chord,"F4,F#4,B4",eighth,0.5,,0.5
chord,"E4,F#4,B4",eighth,0.5,,0.5
chord,"C#4,F#4,B4",eighth,0.5,,0.5
chord,"E4,F#4,B4",eighth,0.5,,0.5
chord,"C#4,F#4,B4",eighth,0.5,,0.5
chord,"C4,F#4,B4",eighth,0.75,,0.75
chord,"C#4,F#4,B4",eighth,0.75,,0.75
chord,"B3,E4,F#4",quarter,1.5,,1.5
chord,"G#1,G#2",complex,2.75,,2.75
note,B3,eighth,0.75,,0.75
note,F#3,eighth,0.75,,0.75
chord,"A1,A2",complex,2.75,,2.75
chord,"F#3,C4,E4",quarter,1.5,,1.5
chord,"B1,B2",complex,2.75,,2.75
note,B3,eighth,0.75,,0.75
note,F#3,eighth,0.75,,0.75
chord,"C2,C3",complex,2.75,,2.75
chord,"F#3,B3,E4",quarter,1.5,,1.5
chord,"C#2,C#3",complex,2.75,,2.75
chord,"F#4,B4",quarter,1.5,,1.5
chord,"E2,E3",complex,2.75,,2.75
chord,"B3,C#4,F#4",eighth,0.5,,0.5
chord,"C#4,F#4,B4",eighth,0.5,,0.5
chord,"E4,F#4,B4",eighth,0.5,,0.5
note,F4,half,3.0,,3.0
note,E4,quarter,1.5,,1.5
note,E4,half,3.0,,3.0
note,G#3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,C5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,G#5,16th,0.25,,0.25
